Date,Open,High,Low,Close,Volume,Change
2015_9_21_,15.165,15.245,15.08,15.221,22.25K,0.44%
2015_9_20_,15.17,15.185,15.15,15.155,-,-0.05%
2015_9_18_,15.12,15.435,15.015,15.163,46.42K,1.19%
2015_9_17_,14.925,15.275,14.77,14.984,42.38K,0.67%
2015_9_16_,14.37,14.965,14.31,14.885,51.34K,3.90%
2015_9_15_,14.365,14.41,14.24,14.326,22.26K,-0.26%
2015_9_14_,14.555,14.59,14.31,14.363,24.50K,-0.98%
2015_9_13_,14.585,14.59,14.5,14.505,-,0.00%
2015_9_11_,14.685,14.745,14.25,14.505,41.11K,-0.96%
2015_9_10_,14.59,14.845,14.535,14.645,33.33K,0.47%
2015_9_9_,14.795,14.93,14.56,14.576,34.42K,-1.21%
2015_9_8_,14.55,14.88,14.44,14.755,42.66K,1.65%
2015_9_7_,14.62,14.645,14.46,14.515,-,-0.72%
2015_9_6_,14.565,14.67,14.55,14.62,-,0.49%
2015_9_4_,14.69,14.825,14.475,14.549,26.61K,-1.07%
2015_9_3_,14.66,14.95,14.55,14.707,32.24K,0.27%
2015_9_2_,14.585,14.815,14.425,14.667,38.22K,0.32%
2015_9_1_,14.595,14.755,14.495,14.62,36.88K,0.23%
2015_8_31_,14.58,14.67,14.39,14.586,29.89K,0.39%
2015_8_30_,14.54,14.545,14.525,14.53,-,-0.03%
2015_8_28_,14.47,14.65,14.34,14.535,13.21K,0.79%
2015_8_27_,14.185,14.185,14.13,14.421,0.01K,2.68%
2015_8_26_,14.665,14.7,14.045,14.045,0.04K,-3.87%
2015_8_25_,14.65,14.655,14.65,14.61,0.01K,-1.27%
2015_8_24_,15.37,15.44,14.595,14.798,38.24K,-3.53%
2015_8_23_,15.32,15.38,15.275,15.34,-,-0.05%
2015_8_21_,15.59,15.77,15.155,15.348,17.64K,-1.09%
2015_8_20_,15.465,15.505,15.465,15.517,0.25K,1.94%
2015_8_19_,14.9,15.355,14.84,15.222,13.46K,2.62%
2015_8_18_,15.345,15.37,14.73,14.834,11.21K,-3.35%
2015_8_17_,15.265,15.42,15.23,15.348,6.79K,0.97%
2015_8_16_,15.215,15.245,15.195,15.2,-,-0.07%
2015_8_14_,15.175,15.175,15.175,15.21,-,-1.55%
2015_8_13_,15.565,15.605,15.32,15.449,11.73K,-0.16%
2015_8_12_,15.48,15.51,15.48,15.473,-,1.26%
2015_8_11_,15.22,15.24,15.22,15.281,0.02K,-0.05%
2015_8_10_,14.89,15.335,14.89,15.289,0.01K,3.83%
2015_8_9_,14.78,14.79,14.725,14.725,-,-0.65%
2015_8_7_,14.63,14.99,14.565,14.821,62.03K,0.98%
2015_8_6_,14.545,14.735,14.49,14.677,32.73K,0.85%
2015_8_5_,14.545,14.675,14.465,14.553,34.45K,0.02%
2015_8_4_,14.605,14.605,14.55,14.55,0.12K,0.23%
2015_8_3_,14.73,14.73,14.415,14.516,0.13K,-1.29%
2015_8_2_,14.76,14.765,14.695,14.705,-,-0.28%
2015_7_31_,14.855,14.865,14.85,14.746,0.10K,0.37%
2015_7_30_,14.75,14.785,14.63,14.691,0.04K,-0.29%
2015_7_29_,14.64,14.665,14.64,14.734,0.01K,0.70%
2015_7_28_,14.64,14.64,14.64,14.631,0.17K,0.25%
2015_7_27_,14.61,14.65,14.56,14.594,0.02K,-0.42%
2015_7_26_,14.64,14.66,14.62,14.655,-,1.23%
2015_7_24_,14.595,14.63,14.33,14.477,0.03K,-1.40%
2015_7_23_,14.635,14.635,14.635,14.683,0.17K,-0.32%
2015_7_22_,14.81,14.865,14.585,14.73,34.47K,-0.26%
2015_7_21_,14.615,14.835,14.615,14.769,0.10K,0.16%
2015_7_20_,14.715,14.905,14.485,14.745,0.05K,-0.53%
2015_7_19_,14.825,14.852,14.817,14.823,-,0.02%
2015_7_17_,14.935,14.945,14.825,14.82,0.06K,-0.96%
2015_7_16_,14.99,14.99,14.97,14.964,0.01K,-0.43%
2015_7_15_,15.045,15.045,14.99,15.028,0.09K,-1.75%
2015_7_14_,15.36,15.38,15.295,15.295,0.03K,-0.91%
2015_7_13_,15.495,15.495,15.3,15.436,0.15K,-1.15%
2015_7_12_,15.537,15.645,15.493,15.615,-,0.95%
2015_7_10_,15.33,15.585,15.33,15.468,0.05K,0.80%
2015_7_9_,15.14,15.44,15.14,15.345,0.37K,1.31%
2015_7_8_,15.045,15.13,14.74,15.147,0.11K,1.32%
2015_7_7_,15.595,15.595,14.805,14.95,1.04K,-4.93%
2015_7_6_,15.55,15.695,15.485,15.726,0.09K,0.26%
2015_7_5_,15.707,15.773,15.563,15.685,-,0.20%
2015_7_3_,15.625,15.683,15.563,15.653,-,0.75%
2015_7_2_,15.47,15.695,15.445,15.537,0.26K,-0.10%
2015_7_1_,15.635,15.645,15.49,15.552,0.22K,0.01%
2015_6_30_,15.725,15.805,15.415,15.551,1.99K,-0.72%
2015_6_29_,15.935,16,15.63,15.664,19.51K,-1.66%
2015_6_28_,15.87,16.02,15.87,15.928,-,1.23%
2015_6_26_,15.725,15.725,15.725,15.735,-,-0.67%
2015_6_25_,15.88,15.94,15.765,15.841,32.73K,-0.04%
2015_6_24_,15.84,15.855,15.84,15.848,0.02K,0.74%
2015_6_23_,15.79,15.825,15.76,15.732,-,-2.51%
2015_6_22_,16.1,16.1,16.1,16.137,-,0.37%
2015_6_21_,16.087,16.102,16.053,16.078,-,-0.42%
2015_6_19_,16.19,16.235,15.915,16.146,12.66K,-0.28%
2015_6_18_,16.11,16.46,16.075,16.192,14.79K,1.29%
2015_6_17_,15.995,16.29,15.925,15.985,9.15K,-0.12%
2015_6_16_,16.075,16.14,15.89,16.004,8.26K,-0.45%
2015_6_15_,16.2,16.2,16.2,16.076,-,0.58%
2015_6_14_,15.912,16.06,15.893,15.983,-,1.04%
2015_6_12_,15.995,15.995,15.835,15.818,0.01K,-0.85%
2015_6_11_,15.945,15.945,15.945,15.953,0.01K,-0.04%
2015_6_10_,15.91,16.19,15.895,15.959,45.25K,0.06%
2015_6_9_,15.97,15.97,15.97,15.949,-,-0.01%
2015_6_8_,16.035,16.06,15.9,15.951,0.02K,-0.26%
2015_6_7_,16.032,16.053,15.988,15.993,-,0.14%
2015_6_5_,15.98,16.06,15.94,15.971,0.01K,-0.73%
2015_6_4_,16.115,16.135,16.115,16.089,0.01K,-2.28%
2015_6_3_,16.375,16.375,16.37,16.464,-,-1.99%
2015_6_2_,16.725,16.84,16.61,16.799,41.68K,0.81%
2015_6_1_,16.635,17.1,16.615,16.664,0.02K,-0.23%
