Date,Open,High,Low,Close,Volume,Change
2014_2_27_,1329.3,1335,1324.6,1331.6,0.37K,0.26%
2014_2_26_,1341.2,1344,1325.6,1328.2,0.06K,-1.10%
2014_2_25_,1336.4,1343.9,1333.1,1343,0.29K,0.35%
2014_2_24_,1324.3,1339,1321.4,1338.3,0.09K,1.09%
2014_2_21_,1320,1328.3,1317.4,1323.9,0.17K,0.52%
2014_2_20_,1310.7,1323.5,1309.6,1317.1,0.12K,-0.27%
2014_2_19_,1318.3,1321.6,1309.1,1320.6,0.19K,-0.31%
2014_2_18_,1322.9,1330.6,1313.9,1324.7,0.37K,-0.29%
2014_2_17_,1323.7,1332.2,1321.1,1328.5,-,0.72%
2014_2_14_,1301.7,1320.7,1301.5,1319,0.31K,1.43%
2014_2_13_,1293.3,1303.5,1287.5,1300.4,0.88K,0.39%
2014_2_12_,1290.5,1296.2,1285.5,1295.3,0.14K,0.40%
2014_2_11_,1274,1292,1273.8,1290.1,0.56K,1.20%
2014_2_10_,1269.6,1277.3,1265.7,1274.8,0.74K,0.91%
2014_2_7_,1258.3,1271.4,1257.9,1263.3,0.44K,0.45%
2014_2_6_,1258,1267,1253.5,1257.6,0.27K,0.02%
2014_2_5_,1254,1273.7,1253.1,1257.3,1.62K,0.45%
2014_2_4_,1258.4,1260.7,1247.8,1251.7,1.75K,-0.69%
2014_2_3_,1242.4,1266.3,1241.2,1260.4,2.91K,1.64%
2014_1_31_,1243.6,1254.5,1238.4,1240.1,5.82K,-0.17%
2014_1_30_,1267,1267.7,1237.5,1242.2,45.28K,-1.58%
2014_1_29_,1262.2,1262.2,1262.2,1262.2,-,0.90%
2014_1_28_,1257.9,1258.4,1257.9,1251,0.02K,-1.00%
2014_1_27_,1259.8,1264.4,1254.4,1263.6,0.09K,-0.07%
2014_1_24_,1258.3,1269.4,1258.3,1264.5,0.04K,0.15%
2014_1_23_,1235.2,1264.2,1235.2,1262.6,0.04K,1.90%
2014_1_22_,1241.7,1242,1240.1,1239,0.06K,-0.27%
2014_1_21_,1256.4,1257.5,1240,1242.3,0.22K,-1.02%
2014_1_20_,1255.7,1257.9,1253.1,1255.1,-,0.27%
2014_1_17_,1239.7,1254.3,1239.7,1251.7,0.10K,0.94%
2014_1_16_,1239.3,1242.8,1238.7,1240,0.05K,0.15%
2014_1_15_,1243.1,1243.2,1238.2,1238.1,0.07K,-0.57%
2014_1_14_,1251,1251.3,1242,1245.2,0.04K,-0.46%
2014_1_13_,1250.6,1252.7,1245.5,1250.9,0.05K,0.34%
2014_1_10_,1235,1246.8,1234,1246.7,0.06K,1.42%
2014_1_9_,1225.8,1229,1225.8,1229.3,0.01K,0.33%
2014_1_8_,1227.5,1227.5,1218.6,1225.3,0.19K,-0.33%
2014_1_7_,1239.3,1242.4,1226,1229.4,0.07K,-0.68%
2014_1_6_,1232.8,1247,1221.9,1237.8,0.13K,-0.05%
2014_1_3_,1221.7,1239,1221.7,1238.4,0.14K,1.09%
2014_1_2_,1204.3,1227.3,1204.3,1225,0.21K,1.63%
2014_1_1_,1203.6,1205.4,1202.8,1205.4,-,0.29%
2013_12_31_,1196.4,1212.4,1182,1201.9,0.12K,-0.10%
2013_12_30_,1215,1215.5,1194.4,1203.1,0.35K,-1.07%
2013_12_27_,1213.4,1218.5,1212.9,1216.1,0.28K,0.16%
2013_12_26_,1207.1,1215.9,1207.1,1214.1,0.14K,0.75%
2013_12_24_,1199.8,1205.6,1197.7,1205.1,0.18K,0.56%
2013_12_23_,1205.2,1205.2,1195.9,1198.4,0.12K,-0.56%
2013_12_20_,1190.9,1207.8,1190.9,1205.1,0.20K,0.85%
2013_12_19_,1226.6,1226.6,1188.7,1195,0.12K,-3.32%
2013_12_18_,1231.5,1245.1,1217,1236.1,0.11K,0.40%
2013_12_17_,1237,1240.4,1231.3,1231.2,0.02K,-1.15%
2013_12_16_,1238.4,1250.6,1228.9,1245.5,0.24K,0.79%
2013_12_13_,1226.7,1239,1222.2,1235.7,0.45K,0.79%
2013_12_12_,1253.5,1255.4,1225.9,1226,0.61K,-2.58%
2013_12_11_,1261.9,1261.9,1252.1,1258.5,0.15K,-0.31%
2013_12_10_,1239,1267,1239,1262.4,0.88K,2.19%
